Sensors' Acquisition [Hz]: Gyro@104.0 
hh:mm:ss.ms, Annotation , GyroX [mdps], GyroY, GyroZ
16:19:50.336,,1330,-700,350
16:19:50.346,,1400,-700,490
16:19:50.356,,1470,-560,630
16:19:50.366,,1540,-560,630
16:19:50.376,,1540,-630,630
16:19:50.386,,1400,-700,630
16:19:50.396,,1190,-840,560
16:19:50.406,,1120,-980,490
16:19:50.416,,1120,-1050,490
16:19:50.426,>Stationary,,,
16:19:50.427,,1120,-1050,490
16:19:50.436,,1190,-910,490
16:19:50.446,,1400,-770,350
16:19:50.456,,1260,-840,420
16:19:50.466,,1330,-770,490
16:19:50.476,,1470,-700,560
16:19:50.486,,1750,-630,560
16:19:50.496,,1680,-630,630
16:19:50.506,,1540,-700,560
16:19:50.516,,1330,-840,490
16:19:50.526,,1120,-910,490
16:19:50.536,,980,-1050,490
16:19:50.546,,1050,-1050,560
16:19:50.556,,1120,-980,560
16:19:50.566,,1120,-980,560
16:19:50.576,,1190,-910,560
16:19:50.586,,1260,-910,490
16:19:50.596,,1260,-910,560
16:19:50.606,,1190,-840,560
16:19:50.616,,1260,-840,490
16:19:50.626,,1120,-910,420
16:19:50.636,,1050,-910,420
16:19:50.646,,1190,-840,420
16:19:50.656,,1330,-840,560
16:19:50.666,,1400,-840,560
16:19:50.676,,1400,-770,560
16:19:50.686,,1470,-700,630
16:19:50.696,,1470,-700,630
16:19:50.706,,1400,-630,560
16:19:50.716,,1330,-700,490
16:19:50.726,,1260,-770,490
16:19:50.736,,1260,-840,490
16:19:50.746,,1190,-910,490
16:19:50.756,,1190,-840,490
16:19:50.766,,1190,-840,420
16:19:50.776,,1330,-770,420
16:19:50.786,,1400,-770,490
16:19:50.796,,1610,-700,490
16:19:50.806,,1750,-700,490
16:19:50.816,,1750,-770,560
16:19:50.826,,1610,-840,560
16:19:50.836,,1470,-840,490
16:19:50.846,,1260,-840,420
16:19:50.856,,1260,-840,420
16:19:50.866,,1120,-980,420
16:19:50.876,,1120,-1050,350
16:19:50.886,,1260,-980,420
16:19:50.896,,1470,-840,490
16:19:50.906,,1610,-770,630
16:19:50.916,,1610,-700,630
16:19:50.926,,1610,-700,630
16:19:50.936,,1470,-770,560
16:19:50.946,,1260,-770,490
16:19:50.956,,1120,-910,490
16:19:50.966,,1190,-980,490
16:19:50.976,,1260,-980,490
16:19:50.986,,1190,-910,490
16:19:50.996,,1260,-910,490
16:19:51.006,,1260,-910,490
16:19:51.016,,1260,-840,490
16:19:51.026,,1330,-840,560
16:19:51.036,,1400,-840,560
16:19:51.046,,1330,-770,560
16:19:51.056,,1330,-770,490
16:19:51.066,,1190,-840,490
16:19:51.076,,1190,-840,490
16:19:51.086,,1190,-910,490
16:19:51.096,,1190,-910,490
16:19:51.106,,1260,-910,490
16:19:51.116,,1190,-910,420
16:19:51.126,,1330,-910,490
16:19:51.136,,1400,-910,560
16:19:51.146,,1400,-840,490
16:19:51.156,,1330,-910,490
16:19:51.166,,1120,-980,490
16:19:51.176,,980,-980,420
16:19:51.186,,980,-980,420
16:19:51.196,,1120,-980,490
16:19:51.206,,1190,-840,490
16:19:51.216,,1330,-770,490
16:19:51.226,,1540,-700,490
16:19:51.236,,1680,-700,490
16:19:51.246,,1680,-840,560
16:19:51.256,,1470,-910,560
16:19:51.266,,1330,-910,490
16:19:51.276,,1190,-910,350
16:19:51.286,,1260,-910,280
16:19:51.296,,1190,-980,280
16:19:51.306,,1190,-1050,350
16:19:51.316,,1330,-910,350
16:19:51.326,,1400,-840,420
16:19:51.336,,1400,-840,490
16:19:51.346,,1470,-770,420
16:19:51.356,,1470,-770,420
16:19:51.366,,1400,-910,420
16:19:51.376,,1400,-840,280
16:19:51.386,,1330,-840,350
16:19:51.396,,1330,-770,420
16:19:51.406,,1330,-770,420
16:19:51.416,,1190,-910,-70
16:19:51.426,,630,-1050,-4900
16:19:51.436,,1890,-630,-2940
16:19:51.446,,1610,-770,140
16:19:51.456,,1330,-770,490
16:19:51.466,,980,-840,560
16:19:51.476,,770,-770,350
16:19:51.486,,560,-770,420
16:19:51.496,,350,-840,420
16:19:51.506,,420,-700,560
16:19:51.516,,770,-770,630
16:19:51.526,,1400,-770,630
16:19:51.536,,1890,-840,630
16:19:51.546,,2240,-840,560
16:19:51.556,,2170,-910,560
16:19:51.566,,1820,-910,560
16:19:51.576,,1470,-910,560
16:19:51.586,,1120,-840,560
16:19:51.596,,490,-770,560
16:19:51.606,,210,-770,560
16:19:51.616,,70,-700,630
16:19:51.626,,210,-770,630
16:19:51.636,,980,-840,560
16:19:51.646,,1120,-840,490
16:19:51.656,,910,-840,490
16:19:51.666,,560,-840,350
16:19:51.676,,0,-840,280
16:19:51.686,,-210,-770,280
16:19:51.696,,280,-840,490
16:19:51.706,,1470,-910,560
16:19:51.716,,2450,-770,560
16:19:51.726,,2520,-700,630
16:19:51.736,,1820,-700,630
16:19:51.746,,980,-630,700
16:19:51.756,,560,-630,700
16:19:51.879,,1540,-980,420
16:19:51.881,,1540,-980,420
16:19:51.882,,1540,-980,420
16:19:51.883,,1540,-980,420
16:19:51.885,,1540,-980,420
16:19:51.886,,1540,-980,490
16:19:51.887,,1400,-980,490
16:19:51.889,,1400,-980,490
16:19:51.890,,1400,-980,490
16:19:51.892,,1400,-980,490
16:19:51.893,,1400,-980,490
16:19:51.894,,1400,-980,490
16:19:51.896,,1400,-980,490
16:19:51.897,,1680,-980,490
16:19:51.906,,1750,-910,490
16:19:51.916,,1610,-840,560
16:19:51.926,,1470,-700,630
16:19:51.936,,1540,-630,630
16:19:51.946,,1540,-630,700
16:19:51.956,,1680,-560,630
16:19:51.966,,1820,-630,700
16:19:51.976,,1960,-560,770
16:19:51.986,,1610,-420,840
16:19:51.996,,1050,-420,770
16:19:52.006,,490,-490,630
16:19:52.016,,140,-770,420
16:19:52.026,,700,-840,280
16:19:52.036,,1050,-910,350
16:19:52.046,,1610,-840,490
16:19:52.056,,2310,-840,700
16:19:52.066,,3080,-840,770
16:19:52.076,,3640,-840,700
16:19:52.086,,3010,-700,630
16:19:52.096,,1470,-840,630
16:19:52.106,,1120,-910,630
16:19:52.116,,840,-910,630
16:19:52.126,,840,-910,630
16:19:52.136,,490,-840,700
16:19:52.146,,-700,-630,770
16:19:52.156,,-1190,-560,770
16:19:52.166,,-1400,-560,700
16:19:52.176,,-1050,-560,770
16:19:52.186,,-70,-1050,1120
16:19:52.196,,0,-1120,1190
16:19:52.206,,-770,-770,910
16:19:52.216,,700,-910,560
16:19:52.226,,1820,-980,490
16:19:52.236,,2310,-1120,350
16:19:52.246,,2660,-1190,210
16:19:52.256,,2380,-1120,140
16:19:52.266,,2240,-1190,210
16:19:52.276,,2660,-1050,420
16:19:52.286,,2870,-1050,420
16:19:52.296,,3360,-1050,420
16:19:52.306,,3430,-980,350
16:19:52.316,,2800,-980,350
16:19:52.326,,2240,-1050,350
16:19:52.336,,1750,-910,350
16:19:52.346,,1400,-910,490
16:19:52.356,,1260,-840,560
16:19:52.366,,1120,-770,630
