Sensors' Acquisition [Hz]: Acc@104.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
12:45:12.347,,1000,-8,16
12:45:12.357,,1001,-8,17
12:45:12.367,,1000,-8,17
12:45:12.377,,1000,-9,17
12:45:12.387,,999,-9,16
12:45:12.397,,999,-10,17
12:45:12.407,,1000,-9,17
12:45:12.417,,1001,-9,18
12:45:12.427,,1000,-9,18
12:45:12.437,>Stationary,,,
12:45:12.439,,1000,-8,16
12:45:12.447,,999,-8,18
12:45:12.457,,999,-9,17
12:45:12.467,,1000,-9,18
12:45:12.477,,1001,-8,17
12:45:12.487,,1000,-9,18
12:45:12.497,,999,-8,18
12:45:12.507,,1000,-9,17
12:45:12.517,,1000,-9,18
12:45:12.527,,1000,-8,17
12:45:12.537,,1000,-9,17
12:45:12.547,,999,-9,19
12:45:12.557,,1001,-9,17
12:45:12.567,,1000,-9,18
12:45:12.577,,1000,-9,16
12:45:12.587,,1001,-9,17
12:45:12.597,,999,-9,17
12:45:12.607,,1001,-9,17
12:45:12.617,,1000,-9,17
12:45:12.627,,1001,-8,17
12:45:12.637,,1000,-8,17
12:45:12.647,,1000,-9,17
12:45:12.657,,1000,-9,17
12:45:12.667,,1000,-9,17
12:45:12.677,,1000,-9,18
12:45:12.687,,1000,-9,17
12:45:12.697,,1000,-9,18
12:45:12.707,,1001,-8,16
12:45:12.717,,1000,-9,17
12:45:12.727,,1000,-9,16
12:45:12.737,,1000,-9,17
12:45:12.747,,1001,-9,18
12:45:12.757,,1000,-8,17
12:45:12.767,,1000,-9,16
12:45:12.777,,1000,-8,17
12:45:12.787,,1000,-9,17
12:45:12.797,,1001,-8,17
12:45:12.807,,1000,-9,18
12:45:12.817,,999,-9,17
12:45:12.827,,1000,-8,17
12:45:12.837,,1000,-8,18
12:45:12.847,,1000,-8,17
12:45:12.857,,999,-9,17
12:45:12.867,,1000,-9,17
12:45:12.877,,1000,-8,17
12:45:12.887,,1000,-9,17
12:45:12.897,,1000,-9,18
12:45:12.907,,1000,-8,17
12:45:12.917,,1000,-9,16
12:45:12.927,,1000,-9,18
12:45:12.937,,1000,-9,17
12:45:12.947,,1000,-9,17
12:45:12.957,,1000,-9,18
12:45:12.967,,1000,-8,16
12:45:12.977,,999,-8,18
12:45:12.987,,999,-9,16
12:45:12.997,,1000,-9,17
12:45:13.007,,1000,-9,16
12:45:13.017,,998,-9,17
12:45:13.027,,1000,-9,17
12:45:13.037,,999,-9,18
12:45:13.047,,1000,-9,17
12:45:13.057,,1000,-9,17
12:45:13.067,,1000,-9,17
12:45:13.077,,999,-8,18
12:45:13.087,,1001,-10,16
12:45:13.097,,1000,-9,17
12:45:13.107,,1001,-8,17
12:45:13.117,,1000,-9,18
12:45:13.127,,1000,-9,17
12:45:13.137,,1001,-9,17
12:45:13.147,,1001,-9,18
12:45:13.157,,1000,-9,17
12:45:13.167,,1001,-9,18
12:45:13.177,,1000,-9,17
12:45:13.187,,1000,-8,17
12:45:13.197,,1000,-9,18
12:45:13.207,,1000,-9,17
12:45:13.217,,1000,-9,16
12:45:13.227,,1000,-9,17
12:45:13.237,,1000,-8,16
12:45:13.247,,1002,-9,17
12:45:13.257,,999,-8,15
12:45:13.267,,1000,-8,17
12:45:13.277,,1000,-9,17
12:45:13.287,,1000,-9,17
12:45:13.297,,999,-9,17
12:45:13.307,,1000,-8,18
12:45:13.317,,1000,-9,18
12:45:13.327,,1000,-9,17
12:45:13.337,,1000,-9,17
12:45:13.347,,1000,-9,18
12:45:13.357,,1000,-9,16
12:45:13.367,,1001,-9,18
12:45:13.377,,1000,-8,16
12:45:13.387,,1000,-9,19
12:45:13.397,,1000,-9,16
12:45:13.407,,1000,-9,16
12:45:13.417,,1000,-8,19
12:45:13.427,,1000,-9,15
12:45:13.437,,1001,-9,20
12:45:13.447,,1000,-9,17
12:45:13.457,,999,-9,16
12:45:13.467,,1000,-9,20
12:45:13.477,,1000,-9,16
12:45:13.487,,1000,-9,17
12:45:13.497,,1000,-9,18
12:45:13.507,,1000,-8,17
12:45:13.517,,1000,-9,16
12:45:13.527,,999,-9,16
12:45:13.537,,1000,-9,20
12:45:13.547,,1000,-9,17
12:45:13.557,,1000,-9,17
12:45:13.567,,1000,-9,19
12:45:13.577,,1000,-9,15
12:45:13.587,,1000,-9,17
12:45:13.597,,1000,-9,18
12:45:13.607,,1000,-8,16
12:45:13.617,,999,-9,17
12:45:13.627,,999,-9,16
12:45:13.637,,999,-9,18
12:45:13.647,,1000,-9,16
12:45:13.657,,1000,-8,18
12:45:13.667,,1001,-8,17
12:45:13.677,,1001,-9,16
12:45:13.687,,1001,-8,16
12:45:13.697,,1000,-9,17
12:45:13.707,,1000,-9,18
12:45:13.717,,1000,-8,17
12:45:13.727,,1001,-9,16
12:45:13.737,,1001,-8,17
12:45:13.747,,999,-10,16
12:45:13.757,,1001,-10,18
12:45:13.767,,1000,-9,16
12:45:13.777,,1000,-8,17
12:45:13.787,,999,-10,17
12:45:13.797,,1000,-8,15
12:45:13.807,,1000,-8,18
12:45:13.817,,1000,-9,16
12:45:13.827,,1001,-8,17
12:45:13.837,,999,-10,18
12:45:13.847,,1001,-10,14
12:45:13.857,,1000,-8,18
12:45:13.867,,998,-8,16
12:45:13.877,,1000,-8,16
12:45:13.887,,1000,-8,15
12:45:13.897,,1000,-8,17
12:45:13.907,,1000,-9,17
12:45:13.917,,1001,-8,16
12:45:13.927,,999,-9,17
12:45:13.937,,1000,-8,16
12:45:13.947,,1000,-9,17
12:45:14.096,,1000,-8,16
12:45:14.097,,1000,-8,16
12:45:14.099,,1000,-8,16
12:45:14.100,,1000,-8,16
12:45:14.102,,1000,-9,16
12:45:14.103,,1000,-9,16
12:45:14.104,,1000,-9,16
12:45:14.106,,1000,-9,16
12:45:14.107,,1000,-9,16
12:45:14.108,,1000,-9,16
12:45:14.110,,1000,-9,17
